장,조,내용
,제8조 RP의 환불,"① 계정에 존재하는 RP의 총 잔액에 대한 환불을 요청하는 경우, 리그 오브 레전드 1:1 문의를 통해 환불을 신청할 수 있습니다.단 보너스 RP는 환불이 불가합니다."
,제8조 RP의 환불,"② 환불 시 환불을 요청한 RP가 현금으로 환불되는 총 금액에서 10%를 수수료로 공제한 금액을 환불해 드리며(단, 환불되는 총 금액이 10,000원 미만인 경우 1,000원의 수수료를 공제합니다.) 환불되는 총 금액이 1,000원 이하인 경우에는 환불이 불가능합니다"
,제8조 RP의 환불,③ 다른 회원에게 선물 받은 RP는 환불이 불가합니다.
,제8조 RP의 환불,"④ 회사는 환불에 필요한 조치 후 3영업일 내에 해당 이용자의 통장으로 입금합니다. 단, 회원의 결제수단에 따라 후불제(휴대폰 등)로 확인된 경우 해당 서비스 요금의 납부가 확인된 후 환불이 가능합니다."
,제8조 RP의 환불,⑤ 이용자가 결제를 함에 있어 과오금이 발생한 경우 회사는 이용자가 결제한 것과 동일한 방법으로 환급하는 것을 원칙으로 하나 결제업체 측의 사정 등으로 동일한 방법의 환불이 불가한 경우 이를 통지하고 다른 방법을 통해 환불합니다.
,제8조 RP의 환불,"⑥ 다음 각 호에 해당하는 계정의 환불요청 시 아래 각 호에 해당하는 경우로 판단된다면 회사는 환불하지 않을 수 있습니다. 단, 회원이 각 호에 해당하는 행위를 하지 않았다는 것을 소명하는 경우에는 그러하지 않습니다."
,제8조 RP의 환불,"⑥ 다음 각 호에 해당하는 계정의 환불요청 시 아래 각 호에 해당하는 경우로 판단된다면 회사는 환불하지 않을 수 있습니다. 단, 회원이 각 호에 해당하는 행위를 하지 않았다는 것을 소명하는 경우에는 그러하지 않습니다.1. 국가에서 정한 법규를 위반하는 행위로 인해 계정 사용이 불가능한 경우"
,제8조 RP의 환불,"⑥ 다음 각 호에 해당하는 계정의 환불요청 시 아래 각 호에 해당하는 경우로 판단된다면 회사는 환불하지 않을 수 있습니다. 단, 회원이 각 호에 해당하는 행위를 하지 않았다는 것을 소명하는 경우에는 그러하지 않습니다.2. 게임에 심각한 영향을 끼치는 부정행위로 인해 계정 사용이 정지되는 경우"
,제8조 RP의 환불,"⑥ 다음 각 호에 해당하는 계정의 환불요청 시 아래 각 호에 해당하는 경우로 판단된다면 회사는 환불하지 않을 수 있습니다. 단, 회원이 각 호에 해당하는 행위를 하지 않았다는 것을 소명하는 경우에는 그러하지 않습니다.3. 게임 운영에 심각한 영향을 끼치는 행위로 인해 계정 사용이 정지되는 경우"
,제8조 RP의 환불,"⑥ 다음 각 호에 해당하는 계정의 환불요청 시 아래 각 호에 해당하는 경우로 판단된다면 회사는 환불하지 않을 수 있습니다. 단, 회원이 각 호에 해당하는 행위를 하지 않았다는 것을 소명하는 경우에는 그러하지 않습니다.4. 개별적인 약관 혹은 서비스 정책에서 환불 금지 사유로 정하는 경우"
,제8조 RP의 환불,"⑥ 다음 각 호에 해당하는 계정의 환불요청 시 아래 각 호에 해당하는 경우로 판단된다면 회사는 환불하지 않을 수 있습니다. 단, 회원이 각 호에 해당하는 행위를 하지 않았다는 것을 소명하는 경우에는 그러하지 않습니다.5. 이벤트 당첨 또는 참여 및 회사와 제휴한 제3자로부터 제공받은 보너스 RP"
,제9조 청약철회,"① RP로 구매한 상품은 게임 내에서 이용 가능한 상태로 즉시 전달되며, 구매 후 게임에서 사용하지 않은 상품은 교환, 반품되지 않고 청약철회만 가능하며, 구매일 또는 이용가능일로부터 7일 이내 청약철회를 신청하셔야 청약철회가 가능합니다. (예를 들어 챔피언 선택 중 스킨을 구매하여 게임에서 바로 적용하여 이용하는 경우는 사용된 상품이므로 청약철회가 불가능합니다.)"
,제9조 청약철회,"② 청약철회는 게임 내 상점의 구매내역에서 직접 신청하시거나 1:1 문의를 통해 신청하실 수 있으며, 구입하신 상품에 대한 청약철회는 구매하신 RP(보너스 RP 포함)로 반환됩니다. 단, RP(보너스 RP 포함) 반환 시 원래 구매 또는 회사가 지급했던 유형 및 순서에 따라 순차적으로 반환됩니다."
,제9조 청약철회,③ 구매하신 상품의 내용이 표시 광고 내용과 다르거나 계약 내용과 다르게 이행된 경우에는 구매하신 날로부터 3개월 또는 다르게 이행된 것을 안 날 또는 알 수 있었던 날로부터 30일 내 청약철회가 가능합니다.
,제9조 청약철회,"④ 청약철회를 요청 시 회사는 아래 각 호를 포함하는 경우 청약철회 요청을 취소 또는 제한할 수 있습니다. 단, 회원이 각 호에 해당하는 행위를 하지 않았다는 것을 소명하는 경우에는 그러하지 않습니다."
,제9조 청약철회,"④ 청약철회를 요청 시 회사는 아래 각 호를 포함하는 경우 청약철회 요청을 취소 또는 제한할 수 있습니다. 단, 회원이 각 호에 해당하는 행위를 하지 않았다는 것을 소명하는 경우에는 그러하지 않습니다.1. 구매일 또는 이용가능일로부터 7일이 경과한 경우"
,제9조 청약철회,"④ 청약철회를 요청 시 회사는 아래 각 호를 포함하는 경우 청약철회 요청을 취소 또는 제한할 수 있습니다. 단, 회원이 각 호에 해당하는 행위를 하지 않았다는 것을 소명하는 경우에는 그러하지 않습니다.2. 선물 받은 이용자가 선물 받은 RP 또는 상품을 사용하거나 수령한 경우 (단 선물한 이용자가 선물한 날로부터 7일 이내 청약철회를 요청했고, 미 사용 상태로 선물 받은 이용자가 이에 동의하거나, 선물 받은 날로부터 7일 이내 선물 받은 이용자가 수령 또는 거절에 대해 응답하지 않은 경우, 이를 거절로 간주하여 선물한 이용자에게 청약철회를 허용함) 또한 선물 받은 이용자가 미 사용 상태에서 선물 받은 날로부터 7일 이내 거절의 의사표시를 한 경우 자동으로 청약철회를 진행함"
,제9조 청약철회,"④ 청약철회를 요청 시 회사는 아래 각 호를 포함하는 경우 청약철회 요청을 취소 또는 제한할 수 있습니다. 단, 회원이 각 호에 해당하는 행위를 하지 않았다는 것을 소명하는 경우에는 그러하지 않습니다.3. 해킹 또는 버그, 계정 거래, 결제 대행 등을 포함한 약관 내 금지된 부정한 방법 등 을 통해 비정상적인 방법으로 구매한 상품이거나 사회통념상 반하는 방법을 통해 구매한 상품"
,제9조 청약철회,"④ 청약철회를 요청 시 회사는 아래 각 호를 포함하는 경우 청약철회 요청을 취소 또는 제한할 수 있습니다. 단, 회원이 각 호에 해당하는 행위를 하지 않았다는 것을 소명하는 경우에는 그러하지 않습니다.4. 사용약관 또는 운영정책 등 회사에서 고지하는 약관, 정책 또는 시스템에 위배되어 계정을 사용할 수 없는 경우(단 RP의 경우 본 약관에 명시한 청약철회 요건을 충족한 경우에 한해 청약철회가 가능하며, 계정이 일시정지 된 경우에는1:1문의 게시판을 통해 본 약관에 명시한 청약철회 요건을 충족한 경우에 한해 청약철회를 허용함)"
,제9조 청약철회,"④ 청약철회를 요청 시 회사는 아래 각 호를 포함하는 경우 청약철회 요청을 취소 또는 제한할 수 있습니다. 단, 회원이 각 호에 해당하는 행위를 하지 않았다는 것을 소명하는 경우에는 그러하지 않습니다.5. 이용자가 보유한 상품에 따라 개별적으로 생성된 가격으로 구매되는 상품으로서 청약철회를 허용할 경우 이용자가 악용 또는 남용하여 회사에 중대한 피해가 예상되는 경우로서 사전 청약철회 불가 사실을 명확하게 고지하거나 이에 대한 동의를 별도 득한 경우"
,제9조 청약철회,"④ 청약철회를 요청 시 회사는 아래 각 호를 포함하는 경우 청약철회 요청을 취소 또는 제한할 수 있습니다. 단, 회원이 각 호에 해당하는 행위를 하지 않았다는 것을 소명하는 경우에는 그러하지 않습니다.6. 기타 전자상거래 등에서의 소비자 보호에 관한 법률 제17조에 2항 또는 관계 법령에 따라 청약철회가 제한되는 경우"
,제10조 개인정보의 보호,회사는 관계 법령이 정하는 바에 따라 계정정보를 포함한 회원의 개인정보를 보호하기 위해 노력합니다. 회원 개인정보의 보호 및 사용에 대해서는 관계법령 및 회사가 별도로 고지하는 ‘개인정보 처리방침’이 적용됩니다.
,제11조 회사의 의무,"① 회사는 충전, 구매, 청약철회, 선물하기, 환불 등의 이용 시 과오금이 발생한 경우 과오금 전액을 환불합니다. 환불 시에는 동일한 결제방법으로 환불을 하지만 불가능할 시는 이를 사전에 고지합니다"
,제11조 회사의 의무,"② 회원의 사유로 과오금이 발생한 경우, 회사는 과오금을 환불하는 데 소요되는 비용을 제8조 제2항에서 정한 방법에 따라 제하고 환불합니다"
,제11조 회사의 의무,③ 회원이 결제를 위해 입력한 추가적인 개인정보에 대한 관리 책임은 본 정책과 관계 법령 등 정책 외 준칙에 의하여 따로 정해진 경우를 제외하고는 전적으로 회원에게 있습니다.
,제12조 손해배상,"① 회사의 게임은 기본적으로 무료이므로 서비스 중지, 장애에 대하여 회사의 고의 또는 중과실이 없는 한 회사는 손해배상을 하지 않습니다. 그러나 기간제 아이템에 대해서는 1일 누적 4시간 이상 중지, 장애에 대해서는 이용하지 못한 시간의 3배만큼을 제공하거나 이에 상응하는 다른 아이템으로 보상합니다. 그러나 다음의 사유로 인한 중지, 장애에 대해서는 예외로 합니다."
,제12조 손해배상,"① 회사의 게임은 기본적으로 무료이므로 서비스 중지, 장애에 대하여 회사의 고의 또는 중과실이 없는 한 회사는 손해배상을 하지 않습니다. 그러나 기간제 아이템에 대해서는 1일 누적 4시간 이상 중지, 장애에 대해서는 이용하지 못한 시간의 3배만큼을 제공하거나 이에 상응하는 다른 아이템으로 보상합니다. 그러나 다음의 사유로 인한 중지, 장애에 대해서는 예외로 합니다.1. 천재지변 등의 불가항력으로 인한 서비스의 중지, 장애"
,제12조 손해배상,"① 회사의 게임은 기본적으로 무료이므로 서비스 중지, 장애에 대하여 회사의 고의 또는 중과실이 없는 한 회사는 손해배상을 하지 않습니다. 그러나 기간제 아이템에 대해서는 1일 누적 4시간 이상 중지, 장애에 대해서는 이용하지 못한 시간의 3배만큼을 제공하거나 이에 상응하는 다른 아이템으로 보상합니다. 그러나 다음의 사유로 인한 중지, 장애에 대해서는 예외로 합니다.2. 이용자 또는 회사에게 책임이 없는 제 3자의 불법행위 등으로 인한 서비스의 중지 장애"
,제12조 손해배상,"① 회사의 게임은 기본적으로 무료이므로 서비스 중지, 장애에 대하여 회사의 고의 또는 중과실이 없는 한 회사는 손해배상을 하지 않습니다. 그러나 기간제 아이템에 대해서는 1일 누적 4시간 이상 중지, 장애에 대해서는 이용하지 못한 시간의 3배만큼을 제공하거나 이에 상응하는 다른 아이템으로 보상합니다. 그러나 다음의 사유로 인한 중지, 장애에 대해서는 예외로 합니다.3. 서비스 개선, 유지, 보수를 위하여 회사가 24시간 이전에 고지한 서비스 중지, 장애"
,제12조 손해배상,"② 또한 회사는 회사의 고의나 중과실로 인해 발생한 사전 고지 없는 서비스의 중지, 장애가 1개월간 누적 72시간을 초과하는 경우 이용자는 기간제 아이템에 대한 계약을 해지할 수 있으며, 이는 이용자의 권리이며, 이를 반드시 진행할 의무는 없습니다."
,제12조 손해배상,"③ 회사가 운영하는 서비스의 중대한 결함으로 인해 상품이 손상 혹은 삭제되어 손해를 입은 경우 회사는 상품을 문제가 발생하기 직전 상태로 원상복구하며 불가능한 경우 회원은 상응하는 적절한 수단을 통해 보상받을 수 있습니다. 단, 회사의 서비스 이용과 관련하여 회사의 귀책사유가 없는 경우 일체의 책임을 지지 않습니다."
,제12조 손해배상,④ 회원이 서비스를 이용할 경우 불법적인 행위를 하거나 본 정책 규정을 위반하여 회사에 손해가 발생 또는 제3자로부터 회사가 손해배상 청구 등 이의제기를 받는 경우 해당 회원은 회사에서 발생한 손해를 배상해야 합니다.
,제12조 손해배상,"⑤ 청소년보호법 시행에 따른 심야 게임이용 제한 시간 중에도 모든 기간이 존재하는 상품은 지속적으로 소모되며, 아이템 사용 후 심야시간대(00:00~06:00)에 사용하지 못한 부분에 대해서는 보상하지 않습니다."
,제13조 면책조항,"① 회사는 전시, 사변, 천재지변, 비상사태, 현재의 기술로는 해결이 불가능한 기술적 결함 기타 불가항력적 사유로 서비스를 제공할 수 없는 경우에는 책임이 면제됩니다."
,제13조 면책조항,"② 회사는 회원의 귀책사유로 인한 게임서비스의 중지, 이용장애 및 계약해지에 대하여 책임이 면제됩니다."
,제13조 면책조항,③ 회사는 기간통신 사업자가 전기통신서비스를 중지하거나 정상적으로 제공하지 아니하여 회원에게 손해가 발생한 경우에 대해서 회사의 고의 또는 중대한 과실이 없는 한 책임이 면제됩니다.
,제13조 면책조항,"④ 회사는 공지된 게임서비스용 설비의 보수, 교체, 정기점검, 공사 등 부득이한 사유로 게임서비스가 중지되거나 장애가 발생한 경우에 대해서 회사의 고의 또는 중대한 과실이 없는 한 책임이 면제됩니다"
,제13조 면책조항,⑤ 회사는 회원의 컴퓨터 환경으로 인하여 발생하는 제반 문제 또는 회사의 고의 또는 중대한 과실이 없는 네트워크 환경으로 인하여 발생하는 문제에 대해서 책임이 면제됩니다.
,제13조 면책조항,"⑥ 회사는 회원 또는 제3자가 게임서비스 내 또는 웹사이트 상에 게시 또는 전송한 정보, 자료, 사실의 신뢰도, 정확성 등의 내용에 대해서는 회사의 고의 또는 중대한 과실이 없는 한 책임이 면제됩니다."
,제13조 면책조항,⑦ 회사는 회원 상호간 또는 회원과 제3자간에 게임서비스를 매개로 발생한 분쟁에 대해 개입할 의무가 없으며 이로 인한 손해를 배상할 책임도 없습니다.
,제13조 면책조항,⑧ 회사가 제공하는 게임서비스 중 무료서비스의 경우에는 회사의 고의 또는 중대한 과실이 없는 한 회사는 손해배상을 하지 않습니다.
,제13조 면책조항,"⑨ 본 게임서비스 중 일부의 게임서비스는 다른 사업자가 제공하는 게임서비스를 통하여 제공될 수 있으며, 회사는 다른 사업자가 제공하는 게임서비스로 인하여 발생한 손해 등에 대해서는 회사의 고의 또는 중대한 과실이 없는 한 책임이 면제됩니다."
,제13조 면책조항,"⑩ 회사는 회원이 게임서비스를 이용하며 기대하는 캐릭터, 경험치, 아이템 등의 결과를 얻지 못하거나 상실한 것에 대하여 책임을 지지 않으며, 게임서비스에 대한 취사선택 또는 이용으로 발생하는 손해 등에 대해서 회사의 고의 또는 중대한 과실이 없는 한 책임이 면제됩니다."
,제13조 면책조항,"⑪ 회사는 회원의 게임상 사이버 자산(게임머니), 등급/내공 손실에 대하여 회사의 고의 또는 중대한 과실이 없는 한 책임이 면제됩니다."
,제13조 면책조항,⑫ 회사는 회원의 컴퓨터 오류에 의한 손해가 발생한 경우 또는 신상정보 및 전자우편주소를 부정확하게 기재하거나 미기재하여 손해가 발생한 경우에 대하여 회사의 고의 또는 중대한 과실이 없는 한 책임이 면제됩니다.
,제13조 면책조항,"⑬ 회사는 관련 법령, 정부 정책 등에 따라 게임서비스 또는 회원에 따라 게임서비스 이용시간 등을 제한할 수 있으며, 이러한 제한사항 및 제한에 따라 발생하는 게임서비스 이용 관련 제반사항에 대해서는 책임이 면제됩니다."
,제14조 재판권 및 준거법,"① 서비스의 이용과 관련하여 회사와 회원간 분쟁이 발생하는 경우 양 당사자간의 합의에 의해 원만히 해결하여야 하며, 원만한 해결이 되지 못한 경우 소송은 법률에서 정해진 절차에 따라 관할법원에 제기합니다."
,제14조 재판권 및 준거법,② 회사와 회원간에 제기된 소송에는 대한민국법률을 적용합니다.
,제14조 재판권 및 준거법,② 회사와 회원간에 제기된 소송에는 대한민국법률을 적용합니다.부칙 1
,제14조 재판권 및 준거법,② 회사와 회원간에 제기된 소송에는 대한민국법률을 적용합니다.본 정책은 2019년 7월 17일부터 시행됩니다.
