장,조,내용
제1장 총칙,제3조 (회사정보 등의 제공),"회사는 다음 각 호의 사항을 게임서비스 초기화면이나 게임서비스 홈페이지(www.lostsaga.com)에 게시하여, 회원이 이를 쉽게 알 수 있도록 합니다. 다만, 개인정보처리방침과 약관은 회원이 연결화면을 통하여 볼 수 있도록 할 수 있습니다.4. 사업자등록번호, 통신판매업 신고번호"
제1장 총칙,제3조 (회사정보 등의 제공),"회사는 다음 각 호의 사항을 게임서비스 초기화면이나 게임서비스 홈페이지(www.lostsaga.com)에 게시하여, 회원이 이를 쉽게 알 수 있도록 합니다. 다만, 개인정보처리방침과 약관은 회원이 연결화면을 통하여 볼 수 있도록 할 수 있습니다.5. 개인정보처리방침"
제1장 총칙,제3조 (회사정보 등의 제공),"회사는 다음 각 호의 사항을 게임서비스 초기화면이나 게임서비스 홈페이지(www.lostsaga.com)에 게시하여, 회원이 이를 쉽게 알 수 있도록 합니다. 다만, 개인정보처리방침과 약관은 회원이 연결화면을 통하여 볼 수 있도록 할 수 있습니다.6. 서비스 이용약관"
제1장 총칙,제4조 (약관의 명시와 개정),1. 회사는 이 약관의 내용을 회원이 알 수 있도록 게임 초기 화면이나 게임서비스 홈페이지 (www.lostsaga.com)에 게시하거나 연결화면을 제공하는 방법으로 회원에게 공지합니다.
제1장 총칙,제4조 (약관의 명시와 개정),2. 회사는 회원이 회사와 이 약관의 내용에 관하여 질의 및 응답을 할 수 있도록 조치를 취합니다.
제1장 총칙,제4조 (약관의 명시와 개정),"3. 회사는 게임서비스를 이용하고자 하는 자(이하 '이용자'라 한다)가 약관의 내용을 쉽게 알 수 있도록 작성하고 약관에 동의하기에 앞서 약관에 정하여져 있는 내용 중 청약철회, 과오납금의 환급, 계약 해제 · 해지, 회사의 면책사항 및 회원에 대한 피해보상 등과 같은 중요한 내용을 회원이 쉽게 이해할 수 있도록 굵은 글씨 등으로 처리하거나 별도의 연결화면 또는 팝업화면 등을 제공하고 이용자의 동의를 얻도록 합니다."
제1장 총칙,제4조 (약관의 명시와 개정),"4. 회사는 '전자상거래 등에서의 소비자보호에 관한 법률', '약관의 규제에 관한 법률', '게임산업진흥에 관한 법률', '정보통신망이용촉진 및 정보보호 등에 관한 법률', '콘텐츠산업진흥법' 등 관련 법령에 위배하지 않는 범위에서 이 약관을 개정할 수 있습니다."
제1장 총칙,제4조 (약관의 명시와 개정),"5. 회사가 약관을 개정할 경우에는 적용일자 및 개정내용, 개정사유 등을 명시하여 그 적용일자로부터 최소한 7일 이전(회원에게 불리하거나 중대한 사항의 변경은 30일 이전)부터 그 적용일자 경과 후 상당한 기간이 경과할 때까지 초기화면 또는 초기화면과의 연결화면을 통해 공지합니다."
제1장 총칙,제4조 (약관의 명시와 개정),"6. 회사에 긴급한 사정 혹은 합리적인 사유가 있는 경우, 전항의 약관 개정에 관한 사전 고지를 긴박하게 하거나 사후에 고지할 수 있으나, 이 경우에도 상당한 기간이 경과할 때까지 초기화면 또는 초기화면과의 연결화면을 통해 공지합니다."
제1장 총칙,제4조 (약관의 명시와 개정),7. 회사가 약관을 개정할 경우에는 개정약관 공지 후 개정약관의 적용에 대한 회원의 동의 여부를 확인합니다. 개정약관 공지 시 회원이 동의 또는 거부의 의사표시를 하지 않으면 승낙한 것으로 간주하겠다는 내용도 함께 공지한 경우에는 회원이 약관 시행일 혹은 공지된 기한까지 거부의사를 표시하지 않는다면 개정약관에 동의한 것으로 간주할 수 있습니다.
제1장 총칙,제4조 (약관의 명시와 개정),8. 회원이 개정약관의 적용에 동의하지 않는 경우 회사 또는 회원은 게임서비스 이용계약을 해지할 수 있습니다.
제1장 총칙,제5조 (약관 외 준칙),"이 약관에서 정하지 아니한 사항과 이 약관의 해석에 관하여는 '전자상거래 등에서의 소비자보호에 관한 법률', '약관의 규제에 관한 법률', '게임산업진흥에 관한 법률', '정보통신망이용촉진 및 정보보호 등에 관한 법률', '콘텐츠산업진흥법' 등 관련 법령에 따릅니다."
제1장 총칙,제6조 (운영정책),1. 약관을 적용하기 위하여 필요한 사항과 회원의 권익을 보호하고 게임세계 내 질서를 유지하기 위하여 회사는 약관에서 구체적인 범위를 정하여 위임한 사항을 게임서비스 운영정책(이하 '운영정책'이라 합니다)으로 정할 수 있습니다.
제1장 총칙,제6조 (운영정책),2. 회사는 운영정책의 내용을 회원이 알 수 있도록 게임초기 화면이나 게임서비스 홈페이지에 게시하거나 연결화면을 제공하는 방법으로 회원에게 공지하여야 합니다.
제1장 총칙,제6조 (운영정책),"3. 회원의 권리 또는 의무에 중대한 변경을 가져오거나 약관 내용을 변경하는 것과 동일한 효력이 발생하는 운영정책 개정의 경우에는 제4조의 절차에 따릅니다. 단, 운영정책 개정이 다음 각 호의 어느 하나에 해당하는 경우에는 제2항의 방법으로 공지합니다."
제1장 총칙,제6조 (운영정책),"3. 회원의 권리 또는 의무에 중대한 변경을 가져오거나 약관 내용을 변경하는 것과 동일한 효력이 발생하는 운영정책 개정의 경우에는 제4조의 절차에 따릅니다. 단, 운영정책 개정이 다음 각 호의 어느 하나에 해당하는 경우에는 제2항의 방법으로 공지합니다.① 약관에서 구체적으로 범위를 정하여 위임한 사항을 개정하는 경우"
제1장 총칙,제6조 (운영정책),"3. 회원의 권리 또는 의무에 중대한 변경을 가져오거나 약관 내용을 변경하는 것과 동일한 효력이 발생하는 운영정책 개정의 경우에는 제4조의 절차에 따릅니다. 단, 운영정책 개정이 다음 각 호의 어느 하나에 해당하는 경우에는 제2항의 방법으로 공지합니다.② 회원의 권리/의무와 관련 없는 사항을 개정하는 경우"
제1장 총칙,제6조 (운영정책),"3. 회원의 권리 또는 의무에 중대한 변경을 가져오거나 약관 내용을 변경하는 것과 동일한 효력이 발생하는 운영정책 개정의 경우에는 제4조의 절차에 따릅니다. 단, 운영정책 개정이 다음 각 호의 어느 하나에 해당하는 경우에는 제2항의 방법으로 공지합니다.③ 운영정책의 내용이 약관에서 정한 내용과 근본적으로 다르지 않고 회원이 예측 가능한 범위 내에서 운영정책을 개정하는 경우"
제2장 이용계약의 체결,제7조 (이용신청 및 방법),1. 회사가 제공하는 게임서비스를 이용하고자 하는 자는 회사가 게임 초기 화면이나 게임서비스 홈페이지(www.lostsaga.com)에서 제공하는 이용신청서를 작성하는 방법으로 이용신청을 하여야 합니다.
제2장 이용계약의 체결,제7조 (이용신청 및 방법),2. 이용자는 이용신청 시 회사에서 요구하는 제반 정보를 제공하여야 합니다.
제2장 이용계약의 체결,제7조 (이용신청 및 방법),"3. 이용자는 제1항의 이용 신청 시 본인의 실명 및 실제 정보를 기재하여야 합니다. 실명 또는 식별정보를 허위로 기재하거나 타인의 명의를 도용한 경우 이 약관에 의한 회원의 권리를 주장할 수 없고, 회사는 환급 없이 이용계약을 취소하거나 해지할 수 있습니다."
제2장 이용계약의 체결,제7조 (이용신청 및 방법),"4. 청소년('초/중등교육법' 제2조의 규정에 의한 고등학교에 재학 중인 학생을 포함한다)이 이용신청을 할 경우에는 법정대리인의 동의를 얻어야 하고, 구체적인 동의절차는 게임산업진흥에 관한 법률 및 시행령에 따라 회사가 제공하는 방법을 따르도록 합니다."
제2장 이용계약의 체결,제8조 (이용신청의 승낙과 제한),1. 회사는 회사가 이용자에게 요구하는 정보에 대해 이용자가 실명 및 실제 정보를 정확히 기재하여 이용신청을 한 경우에 상당한 이유가 없는 한 이용신청을 승낙합니다.
제2장 이용계약의 체결,제8조 (이용신청의 승낙과 제한),2. 회사는 다음 각 호의 어느 하나에 해당되는 이용신청에 대해서는 승낙을 하지 않을 수 있습니다.
제2장 이용계약의 체결,제8조 (이용신청의 승낙과 제한),2. 회사는 다음 각 호의 어느 하나에 해당되는 이용신청에 대해서는 승낙을 하지 않을 수 있습니다.① 제7조에 위반하여 이용신청을 하는 경우
제2장 이용계약의 체결,제8조 (이용신청의 승낙과 제한),2. 회사는 다음 각 호의 어느 하나에 해당되는 이용신청에 대해서는 승낙을 하지 않을 수 있습니다.② 이용요금을 납부하지 않거나 잘못 납부하여 확인할 수 없는 경우
제2장 이용계약의 체결,제8조 (이용신청의 승낙과 제한),2. 회사는 다음 각 호의 어느 하나에 해당되는 이용신청에 대해서는 승낙을 하지 않을 수 있습니다.③ 청소년(제7조 제4항의 청소년과 같다)이 법정대리인의 동의를 얻지 아니하거나 동의를 얻었음을 확인할 수 없는 경우
제2장 이용계약의 체결,제8조 (이용신청의 승낙과 제한),2. 회사는 다음 각 호의 어느 하나에 해당되는 이용신청에 대해서는 승낙을 하지 않을 수 있습니다.④ 최근 3개월 내 이용제한 기록이 있는 이용자가 이용신청을 하는 경우
제2장 이용계약의 체결,제8조 (이용신청의 승낙과 제한),"2. 회사는 다음 각 호의 어느 하나에 해당되는 이용신청에 대해서는 승낙을 하지 않을 수 있습니다.⑤ 제3자의 신용카드, 유/무선 전화, 은행 계좌 등을 무단으로 이용 또는 도용하여 서비스 이용요금을 결제하는 경우"
제2장 이용계약의 체결,제8조 (이용신청의 승낙과 제한),2. 회사는 다음 각 호의 어느 하나에 해당되는 이용신청에 대해서는 승낙을 하지 않을 수 있습니다.⑥ 대한민국 이외의 국가 중 회사에서 아직 서비스를 제공할 것으로 결정하지 않은 국가에서 서비스를 이용하는 경우로 회사가 해외 서비스 업체와 체결한 계약이나 특정 국가에서 접속하는 회원에 대한 서비스 제공과 관련하여 서비스제공을 제한할 필요가 있는 경우
제2장 이용계약의 체결,제8조 (이용신청의 승낙과 제한),"2. 회사는 다음 각 호의 어느 하나에 해당되는 이용신청에 대해서는 승낙을 하지 않을 수 있습니다.⑦ '게임산업진흥에 관한 법률', '정보통신망이용촉진 및 정보보호 등에 관한 법률' 및 그 밖의 관계 법령에서 금지하는 위법행위를 할 목적으로 이용신청을 하는 경우"
제2장 이용계약의 체결,제8조 (이용신청의 승낙과 제한),2. 회사는 다음 각 호의 어느 하나에 해당되는 이용신청에 대해서는 승낙을 하지 않을 수 있습니다.⑧ 그 밖에 1호 내지 7호에 준하는 사유로서 승낙이 부적절하다고 판단되는 경우
제2장 이용계약의 체결,제8조 (이용신청의 승낙과 제한),3. 회사는 다음 각 호의 어느 하나에 해당되는 경우에는 그 사유가 해소될 때까지 승낙을 유보할 수 있습니다.
제2장 이용계약의 체결,제8조 (이용신청의 승낙과 제한),3. 회사는 다음 각 호의 어느 하나에 해당되는 경우에는 그 사유가 해소될 때까지 승낙을 유보할 수 있습니다.① 회사의 설비에 여유가 없거나 기술적 장애가 있는 경우
제2장 이용계약의 체결,제8조 (이용신청의 승낙과 제한),3. 회사는 다음 각 호의 어느 하나에 해당되는 경우에는 그 사유가 해소될 때까지 승낙을 유보할 수 있습니다.② 서비스 상의 장애 또는 서비스 이용요금 결제수단의 장애가 발생한 경우
제2장 이용계약의 체결,제8조 (이용신청의 승낙과 제한),3. 회사는 다음 각 호의 어느 하나에 해당되는 경우에는 그 사유가 해소될 때까지 승낙을 유보할 수 있습니다.③ 그 밖에 위 각 호에 준하는 사유로서 이용신청의 승낙이 곤란한 경우
제2장 이용계약의 체결,제8조 (이용신청의 승낙과 제한),"4. 이용신청자 중 '게임산업진흥에관한법률'상의 인터넷컴퓨터게임시설제공업을 영위하는 자(이하 'PC방사업자')가, 본 조의 서비스를 이용하여 영업에 사용하고자 할 때에는 회사와 별도로 '인터넷 PC방 서비스 이용 계약'을 체결하여야 합니다. PC방사업자가 회사의 서비스정책을 우회하여 본 조의 서비스를 영업에 사용하는 경우, 회사는 본 약관에서 정한 이용제한조치 및 손해배상을 PC방 사업자에게 요구할 수 있습니다."
제2장 이용계약의 체결,제9조 (회원 계정(ID) 및 비밀번호),"1. 회사는 회원에 대하여 회원의 정보 보호, 서비스 이용안내 등의 편의를 위해 회원이 선정한 일정한 문자, 숫자 또는 특수문자의 조합을 계정으로 부여합니다."
제2장 이용계약의 체결,제9조 (회원 계정(ID) 및 비밀번호),2. 회사는 계정정보를 통하여 당해 회원의 서비스 이용가능 여부 등의 제반 회원 관리 업무를 수행합니다.
제2장 이용계약의 체결,제9조 (회원 계정(ID) 및 비밀번호),3. 회원은 자신의 계정정보를 선량한 관리자로서의 주의 의무를 다하여 관리하여야 합니다. 회원이 본인 계정정보를 소홀히 관리하거나 제3자에게 이용을 승낙함으로써 발생하는 손해에 대하여는 회원에게 책임이 있습니다.
제2장 이용계약의 체결,제9조 (회원 계정(ID) 및 비밀번호),"4. 비밀번호의 관리책임은 회원에게 있으며, 회원이 원하는 경우에는 보안상의 이유 등으로 언제든지 변경이 가능합니다."
제2장 이용계약의 체결,제9조 (회원 계정(ID) 및 비밀번호),5. 회원은 정기적으로 비밀번호를 변경하여야 합니다.
제2장 이용계약의 체결,제10조 (회원 정보의 제공 및 변경),"1. 회원은 이 약관에 의하여 회사에 정보를 제공하여야 하는 경우에는 진실된 정보를 제공하여야 하며, 허위정보 제공으로 인해 발생한 불이익에 대해서는 보호받지 못합니다."
제2장 이용계약의 체결,제10조 (회원 정보의 제공 및 변경),"2. 회원은 개인정보관리화면을 통하여 언제든지 자신의 개인정보를 열람하고 수정할 수 있습니다. 다만, 서비스 관리를 위해 필요한 실명, 계정(ID) 등은 수정이 불가능합니다."
제2장 이용계약의 체결,제10조 (회원 정보의 제공 및 변경),3. 회원은 회원가입 신청 시 기재한 사항이 변경되었을 경우 온라인으로 수정을 하거나 기타 방법으로 회사에 대하여 그 변경사항을 알려야 합니다.
제2장 이용계약의 체결,제10조 (회원 정보의 제공 및 변경),4. 제2항의 변경사항을 회사에 알리지 않아 발생한 불이익에 대하여 회사는 책임을 지지 않습니다.
제2장 이용계약의 체결,제11조 (개인정보의 보호 및 관리),1. 회사는 관계 법령이 정하는 바에 따라 계정정보를 포함한 회원의 개인정보를 보호하기 위해 노력합니다. 회원 개인정보의 보호 및 사용에 대해서는 관계법령 및 회사가 별도로 고지하는 개인정보처리방침이 적용됩니다.
제2장 이용계약의 체결,제11조 (개인정보의 보호 및 관리),2. 서비스의 일부로 제공하는 개별 서비스를 제외한 것으로서 홈페이지 및 게임서비스 별 웹 사이트에서 단순히 링크된 제3자 제공의 서비스에 대하여는 회사의 개인정보처리방침이 적용되지 않습니다.
제2장 이용계약의 체결,제11조 (개인정보의 보호 및 관리),3. 회사는 회원의 귀책사유로 인하여 노출된 회원의 계정정보를 포함한 모든 정보에 대해서 일체의 책임을 지지 않습니다.
제3장 계약 당사자의 의무,제12조 (회사의 의무),"1. 회사는 관련 법령을 준수하고, 이 약관이 정하는 권리의 행사와 의무의 이행을 신의에 따라 성실하게 합니다."
제3장 계약 당사자의 의무,제12조 (회사의 의무),2. 회사는 회원이 안전하게 서비스를 이용할 수 있도록 개인정보(신용정보 포함)보호를 위해 보안시스템을 갖추어야 하며 개인정보처리방침을 공시하고 준수합니다. 회사는 이 약관 및 개인정보처리방침에서 정한 경우를 제외하고는 회원의 개인정보가 제3자에게 공개 또는 제공되지 않도록 합니다.
제3장 계약 당사자의 의무,제12조 (회사의 의무),"3. 회사는 계속적이고 안정적인 서비스의 제공을 위하여 서비스 개선을 하던 중 설비에 장애가 생기거나 데이터 등이 멸실된 때에는 천재지변, 비상사태, 현재의 기술로는 해결이 불가능한 결함 및 장애 등 부득이한 사유가 없는 한 지체 없이 이를 수리 또는 복구하도록 최선의 노력을 다합니다."
제3장 계약 당사자의 의무,제13조 (회원의 의무),"1. 이용고객은 회원가입 신청 시 모든 사항을 사실에 근거하여 기재하여야 하며, 허위 또는 타인의 정보를 등록할 경우 일체의 권리를 주장할 수 없습니다."
제3장 계약 당사자의 의무,제13조 (회원의 의무),2. 회원은 회사가 제공하는 서비스를 이용함에 있어 다음 각 호의 행위를 하여서는 안됩니다.
제3장 계약 당사자의 의무,제13조 (회원의 의무),2. 회원은 회사가 제공하는 서비스를 이용함에 있어 다음 각 호의 행위를 하여서는 안됩니다.- 신청 또는 변경 시 허위내용의 기재
제3장 계약 당사자의 의무,제13조 (회원의 의무),2. 회원은 회사가 제공하는 서비스를 이용함에 있어 다음 각 호의 행위를 하여서는 안됩니다.- 타인의 정보도용
제3장 계약 당사자의 의무,제13조 (회원의 의무),"2. 회원은 회사가 제공하는 서비스를 이용함에 있어 다음 각 호의 행위를 하여서는 안됩니다.- 회사의 임직원, 운영자, 기타 관계자를 사칭하는 행위"
제3장 계약 당사자의 의무,제13조 (회원의 의무),2. 회원은 회사가 제공하는 서비스를 이용함에 있어 다음 각 호의 행위를 하여서는 안됩니다.- 회사가 게시한 정보의 변경
제3장 계약 당사자의 의무,제13조 (회원의 의무),2. 회원은 회사가 제공하는 서비스를 이용함에 있어 다음 각 호의 행위를 하여서는 안됩니다.- 회사가 금지한 정보(컴퓨터 프로그램 등)의 송신 또는 게시
제3장 계약 당사자의 의무,제13조 (회원의 의무),"2. 회원은 회사가 제공하는 서비스를 이용함에 있어 다음 각 호의 행위를 하여서는 안됩니다.- 회사가 제공 또는 승인하지 아니한 컴퓨터 프로그램이나 기기 또는 장치를 제작, 배포, 이용, 광고하는 행위"
제3장 계약 당사자의 의무,제13조 (회원의 의무),2. 회원은 회사가 제공하는 서비스를 이용함에 있어 다음 각 호의 행위를 하여서는 안됩니다.- 회사와 기타 제3자의 저작권 등 지적재산권에 대한 침해
제3장 계약 당사자의 의무,제13조 (회원의 의무),2. 회원은 회사가 제공하는 서비스를 이용함에 있어 다음 각 호의 행위를 하여서는 안됩니다.- 회사 및 기타 제3자의 명예를 손상시키거나 업무를 방해하는 행위
제3장 계약 당사자의 의무,제13조 (회원의 의무),"2. 회원은 회사가 제공하는 서비스를 이용함에 있어 다음 각 호의 행위를 하여서는 안됩니다.- 외설 또는 폭력적인 말이나 글, 화상, 음향, 기타 공서양속에 반하는 정보를 공개 또는 게시하는 행위"
제3장 계약 당사자의 의무,제13조 (회원의 의무),"2. 회원은 회사가 제공하는 서비스를 이용함에 있어 다음 각 호의 행위를 하여서는 안됩니다.- 게임 데이터(계정, 캐릭터, 게임아이템 등)를 유상으로 처분(양보, 매매 등)하거나 권리의 객체(담보제공, 대여 등)로 하는 행위 또는 유도하거나 광고하는 행위"
제3장 계약 당사자의 의무,제13조 (회원의 의무),"2. 회원은 회사가 제공하는 서비스를 이용함에 있어 다음 각 호의 행위를 하여서는 안됩니다.- 회사의 동의 없이 영리, 영업, 광고, 정치활동 등을 목적으로 게임서비스를 사용하는 행위"
제3장 계약 당사자의 의무,제13조 (회원의 의무),2. 회원은 회사가 제공하는 서비스를 이용함에 있어 다음 각 호의 행위를 하여서는 안됩니다.- 기타 관련 법령에서 금지하거나 선량한 풍속 기타 사회통념상 허용되지 않는 행위
제3장 계약 당사자의 의무,제13조 (회원의 의무),"3. 회원은 이 약관의 규정, 이용안내 및 게임서비스와 관련하여 공지한 중의사항, 회사가 통지하는 사항 등을 확인하고 준수할 의무가 있습니다."
제3장 계약 당사자의 의무,제13조 (회원의 의무),"4. 회사는 제1항, 제2항 및 다음 각 호의 어느 하나에 해당하는 행위의 구체적인 유형을 운영정책에서 정할 수 있으며, 회원은 이를 준수할 의무가 있습니다."
제3장 계약 당사자의 의무,제13조 (회원의 의무),"4. 회사는 제1항, 제2항 및 다음 각 호의 어느 하나에 해당하는 행위의 구체적인 유형을 운영정책에서 정할 수 있으며, 회원은 이를 준수할 의무가 있습니다.- 회원의 계정명, 캐릭터명, 길드명에 대한 제한"
제3장 계약 당사자의 의무,제13조 (회원의 의무),"4. 회사는 제1항, 제2항 및 다음 각 호의 어느 하나에 해당하는 행위의 구체적인 유형을 운영정책에서 정할 수 있으며, 회원은 이를 준수할 의무가 있습니다.- 채팅내용과 방법에 대한 제한"
제3장 계약 당사자의 의무,제13조 (회원의 의무),"4. 회사는 제1항, 제2항 및 다음 각 호의 어느 하나에 해당하는 행위의 구체적인 유형을 운영정책에서 정할 수 있으며, 회원은 이를 준수할 의무가 있습니다.- 게시판 이용에 대한 제한"
제3장 계약 당사자의 의무,제13조 (회원의 의무),"4. 회사는 제1항, 제2항 및 다음 각 호의 어느 하나에 해당하는 행위의 구체적인 유형을 운영정책에서 정할 수 있으며, 회원은 이를 준수할 의무가 있습니다.- 게임플레이방법에 대한 제한"
제3장 계약 당사자의 의무,제13조 (회원의 의무),"4. 회사는 제1항, 제2항 및 다음 각 호의 어느 하나에 해당하는 행위의 구체적인 유형을 운영정책에서 정할 수 있으며, 회원은 이를 준수할 의무가 있습니다.- 기타 회원의 게임서비스 이용에 대한 본질적 권리를 침해하지 않는 범위 내에서 회사가 게임서비스 운영상 필요하다고 인정되는 사항"
제4장 서비스 이용,제14조 (서비스의 변경 및 내용수정),"1. 회원은 회사가 제공하는 게임서비스를 이 약관, 운영정책 및 회사가 설정한 게임규칙에 따라 이용할 수 있습니다."
제4장 서비스 이용,제14조 (서비스의 변경 및 내용수정),"2. 회사가 게임서비스를 통하여 회원에게 제공하는 게임세계는 회사가 창조한 가상세계로서 회사는 게임 내용의 제작, 변경, 유지, 보수에 관한 포괄적인 권한을 가집니다."
제4장 서비스 이용,제14조 (서비스의 변경 및 내용수정),3. 회사는 현실 세계로부터 게임 세계를 보호하고 게임 세계의 질서와 게임성을 유지하기 위하여 필요한 조치를 취합니다.
제4장 서비스 이용,제14조 (서비스의 변경 및 내용수정),"4. 회사가 상당한 이유가 있는 경우에는 운영상, 기술상의 필요에 따라 게임서비스 수정(패치)을 할 수 있으며, 게임서비스 수정(패치)을 하는 경우에는 변경 후 해당 게임사이트 등을 통하여 공지합니다."
제4장 서비스 이용,제15조 (서비스의 제공 및 중단 등),"1. 회사는 서비스를 업무상 또는 기술상 특별한 지장이 없는 한 연중 무휴, 1일 24시간 제공하는 것을 원칙으로 합니다. 단, 시스템 정기점검, 서버의 증설 및 교체 등의 운영상 필요하다고 판단되는 경우에는 일정기간 동안 서비스를 일시 중지 할 수 있으며 이 경우 회사는 사전에 이를 홈페이지 또는 개별 서비스 홈페이지에 공지합니다."
제4장 서비스 이용,제15조 (서비스의 제공 및 중단 등),"2. 제1항에도 불구하고, 다음 각 호의 어느 하나에 해당하는 경우에는 일정한 시간 동안 게임서비스가 제공되지 아니할 수 있으며, 해당 시간 동안 회사는 게임서비스를 제공할 의무가 없습니다."
제4장 서비스 이용,제15조 (서비스의 제공 및 중단 등),"2. 제1항에도 불구하고, 다음 각 호의 어느 하나에 해당하는 경우에는 일정한 시간 동안 게임서비스가 제공되지 아니할 수 있으며, 해당 시간 동안 회사는 게임서비스를 제공할 의무가 없습니다.① 컴퓨터 등 정보통신설비의 보수점검, 교체, 정기점검 또는 게임 내용이나 게임서비스의 수정을 위하여 필요한 경우"
